W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,yearID,CyYoung
24,16,41,40,29,5,1,1028,253,73,17,82,234,0.2,1.92,16,11,12,0,1345,1,79,0,0,0,1972,0
21,20,44,44,23,1,0,1026,311,129,41,113,208,0.24,3.39,8,18,11,4,1436,0,160,0,0,0,1979,0
31,6,41,41,28,6,0,1008,241,73,31,63,280,0.2,1.96,2,3,6,0,1288,0,86,0,0,0,1968,0
31,6,41,41,28,6,0,1008,241,73,31,63,280,0.2,1.96,2,3,6,0,1288,0,86,0,0,0,1968,0
31,6,41,41,28,6,0,1008,241,73,31,63,280,0.2,1.96,2,3,6,0,1288,0,86,0,0,0,1968,0
19,18,44,42,22,4,1,1003,295,107,16,102,248,0.23,2.88,5,11,13,3,1389,1,129,0,0,0,1978,0
22,13,44,42,22,7,1,1002,272,71,21,62,210,0.22,1.91,2,6,7,0,1316,2,95,0,0,0,1971,0
22,16,42,41,26,3,0,998,221,107,18,202,367,0.19,2.89,3,9,9,0,1392,1,127,0,0,0,1974,0
16,20,44,43,20,2,0,991,315,148,26,164,262,0.25,4.03,12,17,8,3,1428,1,166,0,0,0,1977,0
23,13,41,41,23,5,0,986,292,117,27,84,214,0.23,3.2,8,11,8,0,1336,0,138,0,0,0,1970,0
25,12,41,41,29,6,0,985,286,103,27,45,225,0.23,2.82,3,4,8,2,1305,0,117,0,0,0,1974,0
23,14,39,39,30,7,0,984,248,94,25,83,177,0.2,2.58,4,7,5,0,1294,0,107,0,0,0,1975,0
22,14,41,41,23,4,0,982,282,91,29,74,250,0.23,2.5,5,6,11,0,1321,0,100,0,0,0,1972,0
21,16,41,39,26,4,1,978,238,104,18,162,383,0.2,2.87,2,15,7,0,1355,2,113,0,0,0,1973,0
26,9,38,38,30,5,0,978,295,88,21,46,218,0.23,2.43,9,8,6,2,1307,0,106,0,0,0,1968,0
19,14,40,39,26,3,0,976,290,90,23,91,233,0.23,2.49,14,12,11,0,1345,1,115,0,0,0,1969,0
20,17,40,40,25,9,0,975,296,91,16,67,258,0.24,2.52,4,7,9,2,1321,0,109,0,0,0,1973,0
24,13,39,39,30,3,0,975,304,100,29,37,263,0.24,2.77,6,3,5,4,1299,0,114,0,0,0,1971,0
24,9,42,41,23,9,0,975,288,101,25,67,181,0.23,2.8,7,5,4,2,1304,0,105,0,0,0,1969,0
24,13,39,39,30,3,0,975,304,100,29,37,263,0.24,2.77,6,3,5,4,1299,0,114,0,0,0,1971,0
24,9,42,41,23,9,0,975,288,101,25,67,181,0.23,2.8,7,5,4,2,1304,0,105,0,0,0,1969,0
23,11,39,38,25,10,1,969,253,75,20,80,193,0.21,2.09,4,4,2,0,1268,1,87,0,0,0,1975,0
23,11,39,38,25,10,1,969,253,75,20,80,193,0.21,2.09,4,4,2,0,1268,1,87,0,0,0,1975,0
21,13,37,37,28,4,0,967,230,90,25,99,216,0.2,2.51,7,2,6,0,1262,0,98,0,0,0,1974,0
